STT,Tiêu đề,Mô tả,Kết quả mong đợi,Phòng ban yêu cầu/test,Kiểu vấn đề,Mức ưu tiên,Bắt đầu,Hết hạn,trạng thái,Phân công,Chủ đề,Quá trình phát triển
1,Quản lý tài khoản_check trùng user,"1. Đăng nhập hệ thống
  2. Tạo user 1 : lưu duyệt
  3. Tạo user 2","Check trùng mã user nên 2 user thuộc cùng 1 PGD
  Không check trùng nếu 2 user thuộc 2 PGD khác nhau thuộc cùng 1 quỹ hoặc 1 user thuộc PGD, 1 user thuộc quỹ",KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Bảo trì_Quản lý người dùng 2026,"- Tạo API/Service kiểm tra trùng mã người dùng trong UserController.
 - Xử lý logic check trùng theo phạm vi Đơn vị/PGD và Quỹ/Chi nhánh."
2,Quản lý tài khoản_Check trùng user khác PGD thuộc cùng Quỹ/Chi nhánh,"1. Đăng nhập hệ thống bằng tài khoản Admin.
  2. Tạo User 1 có Mã user = NV001 thuộc PGD A.
  3. Tạo User 2 có Mã user = NV001 thuộc PGD B (PGD A và PGD B cùng thuộc Chi nhánh X).",Hệ thống cho phép lưu thành công (phân biệt người dùng theo PGD/Chi nhánh) hoặc cảnh báo trùng mã nhân viên toàn hệ thống.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Bảo trì_Quản lý người dùng 2026,"- Tạo API/Service kiểm tra trùng mã người dùng trong UserController.
 - Xử lý logic check trùng theo phạm vi Đơn vị/PGD và Quỹ/Chi nhánh."
3,Quản lý tài khoản_Check trùng Email người dùng khi tạo mới,"1. Mở màn hình Thêm mới người dùng.
  2. Nhập Email = 'an.nd@coopbank.vn' (đã tồn tại trong hệ thống).
  3. Nhấn [Lưu].",Hệ thống thông báo lỗi: 'Email đã được sử dụng bởi tài khoản khác'.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Bảo trì_Quản lý người dùng 2026,"- Tạo validation kiểm tra Email duy nhất trong UserService.
 - Xử lý ném lỗi BadRequest khi Email đã tồn tại trong CSDL."
4,Quản lý tài khoản_Đăng nhập tài khoản hợp lệ,"1. Mở màn hình Đăng nhập.
  2. Nhập Email/Tên đăng nhập và Mật khẩu chính xác.
  3. Nhấn nút [Đăng nhập].","Đăng nhập thành công, hệ thống lưu JWT Token và chuyển hướng đến trang Dashboard chính.",KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Anh,Xác thực hệ thống,"- Tạo AuthController với endpoint /api/auth/login.
 - Xử lý xác thực mật khẩu (hash/salt) và sinh JWT Token chứa Claims."
5,Quản lý tài khoản_Đăng nhập sai mật khẩu,"1. Mở màn hình Đăng nhập.
  2. Nhập Email đúng và Mật khẩu sai.
  3. Nhấn nút [Đăng nhập].",Hệ thống hiển thị thông báo lỗi 'Tên đăng nhập hoặc mật khẩu không đúng'. Không chuyển hướng.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Anh,Xác thực hệ thống,"- Tạo logic kiểm tra mật khẩu trong AuthService.
 - Xử lý trả mã lỗi 401 Unauthorized khi thông tin xác thực không đúng."
6,Quản lý tài khoản_Đăng nhập Google Auth / Dev Mode Bypass,"1. Truy cập môi trường Dev/Staging (bật Bypass Google Auth).
  2. Chọn tài khoản Google Dev / Nhấn Login Bypass.",Hệ thống xác thực và cấp quyền tự động cho tài khoản dev mà không cần qua Google OAuth production.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Xác thực hệ thống,"- Tạo DevModeBypassHandler trong AuthController.
 - Xử lý cấp JWT Token tự động cho tài khoản dev trên môi trường thử nghiệm."
7,Quản lý tài khoản_Đổi mật khẩu người dùng,"1. Đăng nhập hệ thống.
  2. Vào trang Hồ sơ cá nhân -> Chọn [Đổi mật khẩu].
  3. Nhập mật khẩu hiện tại, mật khẩu mới hợp lệ (>8 ký tự, có hoa/thường/số) và xác nhận mật khẩu mới.
  4. Nhấn [Lưu thay đổi].",Mật khẩu đổi thành công. Lần đăng nhập sau phải dùng mật khẩu mới.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Anh,Bảo trì_Quản lý người dùng 2026,"- Tạo endpoint /api/auth/change-password trong AuthController.
 - Xử lý xác thực mật khẩu cũ và mã hóa BCrypt/PBKDF2 cho mật khẩu mới."
8,Quản lý tài khoản_Khóa/Mở khóa tài khoản người dùng,"1. Truy cập danh sách Người dùng với quyền Admin.
  2. Chọn 1 user -> Bấm [Khóa tài khoản].
  3. Thử đăng nhập bằng tài khoản bị khóa.",Đăng nhập thất bại với thông báo 'Tài khoản đã bị khóa'. Bấm mở khóa thì đăng nhập lại bình thường.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Bảo trì_Quản lý người dùng 2026,"- Tạo endpoint Lock/Unlock User trong UserController.
 - Xử lý cập nhật trạng thái IsActive/IsLocked và chặn cấp token khi đăng nhập."
9,Quản lý tài khoản_Tạo danh sách người dùng hàng loạt (Bulk Create),"1. Nhấn [Tạo nhiều người dùng].
  2. Nhập danh sách 5 người dùng kèm Phòng ban & Chức vụ.
  3. Nhấn [Lưu tất cả].",Tất cả 5 tài khoản được tạo thành công trong 1 transaction.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Anh,Bảo trì_Quản lý người dùng 2026,"- Tạo API CreateBulkUsers trong UserController.
 - Xử lý chèn danh sách người dùng trong một DbContext Transaction."
10,Quản lý tài khoản_Import người dùng từ file Excel hợp lệ,"1. Vào mục Quản lý người dùng -> Chọn [Import Excel].
  2. Tải lên file Danh_Sach_Nguoi_Dung_Import.xlsx chứa thông tin danh sách nhân viên đúng định dạng.
  3. Nhấn [Tải lên & Lưu].","Hệ thống import thành công toàn bộ danh sách người dùng, tự động gán Phòng ban và Vai trò tương ứng.",KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Anh,Bảo trì_Quản lý người dùng 2026,"- Tạo ImportExcelService trong UserController.
 - Xử lý đọc file Excel bằng EPPlus/NPOI, validate dữ liệu và lưu DB hàng loạt."
